Date,Predicted,Regime
2016-06-06,22.788239,Sideways
2016-06-07,22.855927,Sideways
2016-06-08,22.9457,Sideways
2016-06-09,22.977365,Sideways
2016-06-10,23.076778,Sideways
2016-06-13,23.024837,Sideways
2016-06-14,22.80506,Sideways
2016-06-15,22.70748,Sideways
2016-06-16,22.630375,Sideways
2016-06-17,22.647144,Sideways
2016-06-20,22.383877,Sideways
2016-06-21,22.215021,Sideways
2016-06-22,22.24396,Sideways
2016-06-23,22.225119,Sideways
2016-06-24,22.281715,Sideways
2016-06-27,21.975712,Sideways
2016-06-28,21.640688,Sideways
2016-06-29,21.677046,Sideways
2016-06-30,21.818953,Sideways
2016-07-01,22.040981,Sideways
2016-07-05,22.184902,Sideways
2016-07-06,22.133984,Sideways
2016-07-07,22.165142,Sideways
2016-07-08,22.23616,Sideways
2016-07-11,22.364069,Sideways
2016-07-12,22.464489,Sideways
2016-07-13,22.564177,Sideways
2016-07-14,22.54174,Sideways
2016-07-15,22.763159,Sideways
2016-07-18,22.880371,Sideways
2016-07-19,23.059004,Sideways
2016-07-20,23.150806,Sideways
2016-07-21,23.199068,Sideways
2016-07-22,23.152657,Sideways
2016-07-25,23.029163,Sideways
2016-07-26,22.802488,Sideways
2016-07-27,22.60741,Sideways
2016-07-28,23.3029,Sideways
2016-07-29,23.85599,Sideways
2016-08-01,24.086294,Sideways
2016-08-02,24.401571,Sideways
2016-08-03,24.35735,Sideways
2016-08-04,24.477491,Sideways
2016-08-05,24.62581,Sideways
2016-08-08,24.898703,Sideways
2016-08-09,25.145052,Sideways
2016-08-10,25.31281,Sideways
2016-08-11,25.284004,Sideways
2016-08-12,25.249493,Sideways
2016-08-15,25.26488,Sideways
2016-08-16,25.438644,Sideways
2016-08-17,25.516941,Sideways
2016-08-18,25.527023,Sideways
2016-08-19,25.509819,Sideways
2016-08-22,25.535368,Sideways
2016-08-23,25.44343,Sideways
2016-08-24,25.436024,Sideways
2016-08-25,25.335257,Sideways
2016-08-26,25.224874,Sideways
2016-08-29,25.094122,Sideways
2016-08-30,25.0172,Sideways
2016-08-31,24.882122,Sideways
2016-09-01,24.82827,Sideways
2016-09-02,24.88751,Sideways
2016-09-06,25.047573,Sideways
2016-09-07,25.124235,Sideways
2016-09-08,25.236994,Sideways
2016-09-09,24.935135,Sideways
2016-09-12,24.468754,Sideways
2016-09-13,24.532217,Sideways
2016-09-14,24.910908,Sideways
2016-09-15,25.585722,Sideways
2016-09-16,26.39374,Sideways
2016-09-19,26.694532,Sideways
2016-09-20,26.632868,Sideways
2016-09-21,26.58018,Sideways
2016-09-22,26.554598,Sideways
2016-09-23,26.679388,Sideways
2016-09-26,26.5076,Sideways
2016-09-27,26.430494,Sideways
2016-09-28,26.427502,Sideways
2016-09-29,26.53892,Sideways
2016-09-30,26.375774,Sideways
2016-10-03,26.391642,Sideways
2016-10-04,26.344076,Sideways
2016-10-05,26.378164,Sideways
2016-10-06,26.405458,Sideways
2016-10-07,26.523,Sideways
2016-10-10,26.604523,Sideways
2016-10-11,26.889599,Sideways
2016-10-12,27.066067,Sideways
2016-10-13,27.27124,Sideways
2016-10-14,27.322994,Sideways
2016-10-17,27.418797,Sideways
2016-10-18,27.4562,Sideways
2016-10-19,27.45995,Sideways
2016-10-20,27.41582,Sideways
2016-10-21,27.384968,Sideways
2016-10-24,27.31398,Sideways
2016-10-25,27.410393,Sideways
2016-10-26,27.54116,Sideways
2016-10-27,27.27007,Sideways
2016-10-28,26.979355,Sideways
2016-10-31,26.748293,Sideways
2016-11-01,26.622675,Sideways
2016-11-02,26.314018,Sideways
2016-11-03,26.171665,Sideways
2016-11-04,25.966228,Sideways
2016-11-07,25.7419,Sideways
2016-11-08,25.834553,Sideways
2016-11-09,25.979605,Sideways
2016-11-10,26.027052,Sideways
2016-11-11,25.65268,Sideways
2016-11-14,25.532715,Sideways
2016-11-15,25.150625,Sideways
2016-11-16,25.133295,Sideways
2016-11-17,25.511988,Sideways
2016-11-18,25.707546,Sideways
2016-11-21,25.799725,Sideways
2016-11-22,26.046177,Sideways
2016-11-23,26.179083,Sideways
2016-11-25,26.161446,Sideways
2016-11-28,26.21437,Sideways
2016-11-29,26.215927,Sideways
2016-11-30,26.199665,Sideways
2016-12-01,26.0726,Sideways
2016-12-02,25.876844,Bull
2016-12-05,25.83362,Sideways
2016-12-06,25.723885,Sideways
2016-12-07,25.77466,Bear
2016-12-08,25.944649,Bear
2016-12-09,26.168352,Bear
2016-12-12,26.50602,Sideways
2016-12-13,26.587608,Bull
2016-12-14,26.847223,Bull
2016-12-15,26.979084,Bull
2016-12-16,27.11154,Bull
2016-12-19,27.192068,Bull
2016-12-20,27.31078,Bull
2016-12-21,27.407562,Bull
2016-12-22,27.46505,Bull
2016-12-23,27.39221,Bull
2016-12-27,27.379303,Bull
2016-12-28,27.47075,Bull
2016-12-29,27.456867,Bull
2016-12-30,27.439905,Bull
2017-01-03,27.31714,Bull
2017-01-04,27.295174,Bull
2017-01-05,27.275177,Bull
2017-01-06,27.340452,Bull
2017-01-09,27.540085,Bull
2017-01-10,27.7773,Bull
2017-01-11,27.904564,Bull
2017-01-12,28.037079,Bull
2017-01-13,28.035805,Bull
2017-01-17,28.000275,Bull
2017-01-18,28.102938,Bull
2017-01-19,28.15831,Bull
2017-01-20,28.154501,Bull
2017-01-23,28.17677,Bull
2017-01-24,28.198957,Bull
2017-01-25,28.195427,Bull
2017-01-26,28.433113,Bull
2017-01-27,28.566288,Bull
2017-01-30,28.622412,Bull
2017-01-31,28.603113,Bull
2017-02-01,28.554146,Bull
2017-02-02,29.463167,Bull
2017-02-03,29.917953,Bull
2017-02-06,30.168287,Bull
2017-02-07,30.42375,Bull
2017-02-08,30.699165,Bull
2017-02-09,30.892729,Bull
2017-02-10,31.097885,Bull
2017-02-13,31.156025,Bull
2017-02-14,31.322136,Bull
2017-02-15,31.625568,Bull
2017-02-16,31.837185,Bull
2017-02-17,31.909151,Bull
2017-02-21,31.98061,Bull
2017-02-22,32.13815,Bull
2017-02-23,32.268833,Bull
2017-02-24,32.254295,Bull
2017-02-27,32.25492,Bull
2017-02-28,32.29064,Bull
2017-03-01,32.31723,Bull
2017-03-02,32.68381,Bull
2017-03-03,32.770187,Bull
2017-03-06,32.895973,Bull
2017-03-07,32.901085,Bull
2017-03-08,32.918682,Bull
2017-03-09,32.86198,Bull
2017-03-10,32.79062,Bull
2017-03-13,32.81511,Bull
2017-03-14,32.840313,Bull
2017-03-15,32.82542,Bull
2017-03-16,33.00219,Bull
2017-03-17,33.125435,Bull
2017-03-20,33.09025,Bull
2017-03-21,33.250042,Bull
2017-03-22,33.13137,Bull
2017-03-23,33.258812,Bull
2017-03-24,33.27039,Bull
2017-03-27,33.232872,Bull
2017-03-28,33.242836,Bull
2017-03-29,33.620525,Bull
2017-03-30,33.85946,Bull
2017-03-31,33.936867,Bull
2017-04-03,33.928146,Bull
2017-04-04,33.92387,Bull
2017-04-05,34.05801,Bull
2017-04-06,34.034153,Bull
2017-04-07,33.967457,Bull
2017-04-10,33.89347,Bull
2017-04-11,33.83737,Bull
2017-04-12,33.61755,Bull
2017-04-13,33.5269,Bull
2017-04-17,33.39829,Bull
2017-04-18,33.435093,Bull
2017-04-19,33.38281,Bull
2017-04-20,33.286823,Bull
2017-04-21,33.462456,Bull
2017-04-24,33.53953,Bull
2017-04-25,33.74223,Bull
2017-04-26,33.95674,Bull
2017-04-27,33.94899,Bull
2017-04-28,33.945095,Bull
2017-05-01,33.92601,Bull
2017-05-02,34.287617,Bull
2017-05-03,34.597305,Bull
2017-05-04,34.68015,Bull
2017-05-05,34.63681,Bull
2017-05-08,34.916794,Bull
2017-05-09,35.580494,Bull
2017-05-10,36.036366,Bull
2017-05-11,36.14134,Bull
2017-05-12,36.33557,Bull
2017-05-15,36.705204,Bull
2017-05-16,36.836994,Bull
2017-05-17,36.85379,Bull
2017-05-18,36.19057,Bull
2017-05-19,36.13207,Bull
2017-05-22,36.210598,Bull
2017-05-23,36.374084,Bull
2017-05-24,36.430805,Bull
2017-05-25,36.39146,Bull
2017-05-26,36.43447,Bull
2017-05-30,36.426613,Bull
2017-05-31,36.427353,Bull
2017-06-01,36.312515,Bull
2017-06-02,36.30547,Bull
2017-06-05,36.59798,Bull
2017-06-06,36.559055,Bull
2017-06-07,36.5858,Bull
2017-06-08,36.719498,Bull
2017-06-09,36.739906,Bull
2017-06-12,35.97752,Bull
2017-06-13,35.121964,Bull
2017-06-14,34.86953,Bull
2017-06-15,34.60973,Bull
2017-06-16,34.37795,Bull
2017-06-19,34.014984,Bull
2017-06-20,34.355835,Bull
2017-06-21,34.389023,Bull
2017-06-22,34.49329,Bull
2017-06-23,34.515152,Bull
2017-06-26,34.602436,Bull
2017-06-27,34.588417,Bull
2017-06-28,34.309513,Bull
2017-06-29,34.430725,Bull
2017-06-30,34.239117,Bull
2017-07-03,34.17357,Bull
2017-07-05,34.085213,Bull
2017-07-06,34.117874,Bull
2017-07-07,33.967648,Bull
2017-07-10,34.070747,Bull
2017-07-11,34.24659,Bull
2017-07-12,34.39223,Bull
2017-07-13,34.48423,Bull
2017-07-14,34.78156,Bull
2017-07-17,35.093895,Bull
2017-07-18,35.305504,Bull
2017-07-19,35.46317,Bull
2017-07-20,35.65246,Bull
2017-07-21,35.655823,Bull
2017-07-24,35.636852,Bull
2017-07-25,35.858555,Bull
