Date,Regime
2018-02-04,Steady Growth
2018-02-11,Strong Bearish
2018-02-18,Strong Bearish
2018-02-25,Mild Bearish
2018-03-04,Strong Bullish
2018-03-11,Strong Bullish
2018-03-18,Steady Growth
2018-03-25,Mild Bearish
2018-04-01,Strong Bearish
2018-04-08,Strong Bearish
2018-04-15,Mild Bearish
2018-04-22,Strong Bullish
2018-04-29,Mild Bearish
2018-05-06,Mild Bearish
2018-05-13,Strong Bullish
2018-05-20,Strong Bullish
2018-05-27,Steady Growth
2018-06-03,Mild Bearish
2018-06-10,Steady Growth
2018-06-17,Steady Growth
2018-06-24,Steady Growth
2018-07-01,Mild Bearish
2018-07-08,Mild Bearish
2018-07-15,Mild Bearish
2018-07-22,Steady Growth
2018-07-29,Steady Growth
2018-08-05,Steady Growth
2018-08-12,Steady Growth
2018-08-19,Mild Bearish
2018-08-26,Mild Bearish
2018-09-02,Mild Bearish
2018-09-09,Mild Bearish
2018-09-16,Mild Bearish
2018-09-23,Strong Bearish
2018-09-30,Mild Bearish
2018-10-07,Steady Growth
2018-10-14,Strong Bearish
2018-10-21,Strong Bearish
2018-10-28,Strong Bearish
2018-11-04,Mild Bearish
2018-11-11,Mild Bearish
2018-11-18,Mild Bearish
2018-11-25,Mild Bearish
2018-12-02,Mild Bearish
2018-12-09,Mild Bearish
2018-12-16,Strong Bullish
2018-12-23,Mild Bearish
2018-12-30,Mild Bearish
2019-01-06,Mild Bearish
2019-01-13,Strong Bullish
2019-01-20,Strong Bullish
2019-01-27,Strong Bullish
2019-02-03,Strong Bullish
2019-02-10,Mild Bearish
2019-02-17,Steady Growth
2019-02-24,Mild Bearish
2019-03-03,Mild Bearish
2019-03-10,Steady Growth
2019-03-17,Steady Growth
2019-03-24,Steady Growth
2019-03-31,Steady Growth
2019-04-07,Steady Growth
2019-04-14,Mild Bearish
2019-04-21,Steady Growth
2019-04-28,Steady Growth
2019-05-05,Mild Bearish
2019-05-12,Strong Bearish
2019-05-19,Strong Bearish
2019-05-26,Mild Bearish
2019-06-02,Mild Bearish
2019-06-09,Strong Bearish
2019-06-16,Mild Bearish
2019-06-23,Mild Bearish
2019-06-30,Mild Bearish
2019-07-07,Steady Growth
2019-07-14,Steady Growth
2019-07-21,Steady Growth
2019-07-28,Steady Growth
2019-08-04,Strong Bullish
2019-08-11,Strong Bullish
2019-08-18,Mild Bearish
2019-08-25,Mild Bearish
2019-09-01,Mild Bearish
2019-09-08,Steady Growth
2019-09-15,Steady Growth
2019-09-22,Steady Growth
2019-09-29,Steady Growth
2019-10-06,Mild Bearish
2019-10-13,Mild Bearish
2019-10-20,Mild Bearish
2019-10-27,Steady Growth
2019-11-03,Steady Growth
2019-11-10,Steady Growth
2019-11-17,Steady Growth
2019-11-24,Steady Growth
2019-12-01,Mild Bearish
2019-12-08,Steady Growth
2019-12-15,Steady Growth
