Date,Regime
2004-09-19,Strong Bullish
2004-09-26,Steady Growth
2004-10-03,Steady Growth
2004-10-10,Steady Growth
2004-10-17,Steady Growth
2004-10-24,Strong Bullish
2004-10-31,Strong Bullish
2004-11-07,Strong Bullish
2004-11-14,High Volatility
2004-11-21,High Volatility
2004-11-28,High Volatility
2004-12-05,Strong Bullish
2004-12-12,Strong Bullish
2004-12-19,Strong Bullish
2004-12-26,Strong Bullish
2005-01-02,Steady Growth
2005-01-09,Strong Bullish
2005-01-16,Strong Bullish
2005-01-23,Strong Bullish
2005-01-30,Strong Bullish
2005-02-06,Strong Bullish
2005-02-13,Strong Bullish
2005-02-20,Strong Bullish
2005-02-27,Strong Bearish
2005-03-06,Strong Bearish
2005-03-13,Strong Bearish
2005-03-20,Strong Bearish
2005-03-27,Mild Bearish
2005-04-03,Mild Bearish
2005-04-10,Steady Growth
2005-04-17,Steady Growth
2005-04-24,Steady Growth
2005-05-01,Steady Growth
2005-05-08,Steady Growth
2005-05-15,Steady Growth
2005-05-22,Steady Growth
2005-05-29,Steady Growth
2005-06-05,Steady Growth
2005-06-12,Strong Bullish
2005-06-19,Strong Bullish
2005-06-26,Strong Bullish
2005-07-03,Strong Bullish
2005-07-10,Steady Growth
2005-07-17,Steady Growth
2005-07-24,Steady Growth
2005-07-31,Mild Bearish
2005-08-07,Mild Bearish
2005-08-14,Strong Bearish
2005-08-21,Strong Bearish
2005-08-28,Strong Bearish
2005-09-04,Mild Bearish
2005-09-11,Steady Growth
2005-09-18,Steady Growth
2005-09-25,Steady Growth
2005-10-02,Steady Growth
2005-10-09,Steady Growth
2005-10-16,Strong Bearish
2005-10-23,Mild Bearish
2005-10-30,Strong Bullish
2005-11-06,Strong Bullish
2005-11-13,Strong Bullish
2005-11-20,Strong Bullish
2005-11-27,Steady Growth
2005-12-04,Steady Growth
2005-12-11,Strong Bullish
2005-12-18,Mild Bearish
2005-12-25,Steady Growth
2006-01-01,Steady Growth
2006-01-08,Steady Growth
2006-01-15,Steady Growth
2006-01-22,Strong Bullish
2006-01-29,Strong Bearish
2006-02-05,Strong Bearish
2006-02-12,Strong Bearish
2006-02-19,Strong Bearish
2006-02-26,Strong Bearish
2006-03-05,Strong Bullish
2006-03-12,Strong Bullish
2006-03-19,Strong Bearish
2006-03-26,Strong Bearish
2006-04-02,Strong Bullish
2006-04-09,Strong Bullish
2006-04-16,Strong Bullish
2006-04-23,Strong Bullish
2006-04-30,Strong Bullish
2006-05-07,Strong Bearish
2006-05-14,Strong Bearish
2006-05-21,Strong Bearish
2006-05-28,Mild Bearish
2006-06-04,Mild Bearish
2006-06-11,Strong Bullish
2006-06-18,Mild Bearish
2006-06-25,Steady Growth
2006-07-02,Steady Growth
2006-07-09,Steady Growth
2006-07-16,Steady Growth
2006-07-23,Mild Bearish
2006-07-30,Strong Bearish
2006-08-06,Strong Bearish
2006-08-13,Strong Bearish
2006-08-20,Mild Bearish
2006-08-27,Mild Bearish
2006-09-03,Steady Growth
2006-09-10,Mild Bearish
2006-09-17,Steady Growth
2006-09-24,Steady Growth
2006-10-01,Steady Growth
2006-10-08,Steady Growth
2006-10-15,Steady Growth
2006-10-22,Steady Growth
2006-10-29,Steady Growth
2006-11-05,Strong Bullish
2006-11-12,Strong Bullish
2006-11-19,Strong Bullish
2006-11-26,Steady Growth
2006-12-03,Mild Bearish
2006-12-10,Mild Bearish
2006-12-17,Strong Bearish
2006-12-24,Strong Bearish
2006-12-31,Strong Bearish
2007-01-07,Mild Bearish
2007-01-14,Steady Growth
2007-01-21,Steady Growth
2007-01-28,Steady Growth
2007-02-04,Mild Bearish
2007-02-11,Strong Bearish
2007-02-18,Strong Bearish
2007-02-25,Mild Bearish
2007-03-04,Strong Bearish
